model,macro_f1,weighted_f1,accuracy,roc_auc,train_f1,gap
RidgeClassifier,0.6243,0.724,0.731,0.8341,0.9189,0.2946
LogisticRegression,0.5943,0.7068,0.7158,0.8254,0.9913,0.397
LinearSVC,0.5894,0.7058,0.7158,0.8153,0.986,0.3967
NeuralNet,0.5803,0.7058,0.7328,0.8247,0.98,0.3998
SGD,0.5797,0.6903,0.6917,0.7759,0.9883,0.4086
XGBoost,0.5776,0.6906,0.6774,0.8151,0.8775,0.3
LightGBM,0.5699,0.6895,0.6962,0.8113,0.9948,0.4249
RandomForest,0.5259,0.6725,0.7194,0.799,0.9956,0.4697
DecisionTree,0.5118,0.6007,0.5675,0.6955,0.6763,0.1645
ExtraTrees,0.4805,0.646,0.7078,0.7748,0.9956,0.5151
