predicted,true_label,correct,prob_positive,prob_negative,prob_neutral
positive,positive,1,0.8455136968393059,0.045468127862067935,0.10901817529862622
positive,positive,1,0.7440641780423108,0.18050074399948243,0.07543507795820661
positive,positive,1,0.9368635437881874,0.047522063815342845,0.01561439239646979
positive,positive,1,0.6466512702078522,0.0,0.3533487297921478
positive,positive,1,0.8991743147218432,0.02739081420896371,0.07343487106919303
positive,positive,1,0.7356431094846569,0.09158309966256356,0.17277379085277947
positive,positive,1,0.6260487955766925,0.20898580984417894,0.16496539457912848
positive,positive,1,0.9253000631711938,0.0,0.07469993682880606
positive,positive,1,1.0,0.0,0.0
positive,positive,1,0.7970487545744305,0.12296068941093143,0.07999055601463817
positive,neutral,0,0.6625482625482626,0.1420849420849421,0.19536679536679538
positive,positive,1,0.806400756739713,0.11729465552577643,0.07630458773451047
positive,positive,1,0.8387015433449276,0.08069743468039188,0.08060102197468054
positive,positive,1,0.7949919224555735,0.08069466882067851,0.12431340872374799
negative,negative,1,0.291063724377103,0.5326466156100985,0.17628966001279853
negative,positive,0,0.052401746724890834,0.4873362445414848,0.46026200873362444
neutral,neutral,1,0.05851603844907658,0.3656118371314397,0.5758721244194838
neutral,neutral,1,0.32793487328481435,0.1052843540545983,0.5667807726605875
positive,positive,1,0.6312160190956106,0.023869513327144938,0.34491446757724437
positive,positive,1,0.6935309299808509,0.026225959537091,0.2802431104820581
negative,negative,1,0.0,0.9836065573770493,0.01639344262295082
positive,negative,0,0.7870234064478139,0.06226998380686,0.15070660974532607
negative,negative,1,0.10183109532793252,0.7526467650649207,0.14552213960714683
positive,positive,1,0.9253000631711938,0.0,0.07469993682880606
positive,positive,1,1.0,0.0,0.0
positive,positive,1,0.8566835504408069,0.07170105695220841,0.07161539260698474
positive,positive,1,0.9836065573770493,0.0,0.01639344262295082
positive,negative,0,0.9549497336216314,0.02875548917768218,0.016294777200686568
neutral,neutral,1,0.05441801603011325,0.34000713891683165,0.6055748450530551
negative,negative,1,0.2578161096565532,0.6595102417988604,0.08267364854458648
positive,positive,1,0.9244970414201183,0.0,0.07550295857988165
positive,positive,1,0.5713694234551289,0.045703184094654965,0.3829273924502162
positive,positive,1,0.87921994637904,0.04728070649864403,0.07349934712231605
positive,positive,1,0.8153068099342746,0.16308449453927185,0.02160869552645352
positive,positive,1,0.8175101843540702,0.06131326382655527,0.12117655181937444
positive,positive,1,0.9098942447478694,0.0743992474558878,0.015706507796242983
positive,positive,1,0.9253000631711938,0.0,0.07469993682880606
positive,positive,1,0.9253000631711938,0.0,0.07469993682880606
positive,positive,1,0.9244970414201183,0.0,0.07550295857988165
positive,positive,1,0.7897804686962406,0.06051259526462674,0.14970693603913265
positive,positive,1,0.8816744729242675,0.04631985455580391,0.07200567251992865
positive,positive,1,0.8816744729242675,0.04631985455580391,0.07200567251992865
positive,positive,1,0.8455136968393059,0.045468127862067935,0.10901817529862622
positive,positive,1,0.8175101843540702,0.06131326382655527,0.12117655181937444
positive,positive,1,0.9269102990033222,0.0,0.07308970099667773
positive,positive,1,0.8816744729242675,0.04631985455580391,0.07200567251992865
positive,positive,1,0.9272746907284531,0.04871551817232816,0.024009791099218875
positive,positive,1,0.87921994637904,0.04728070649864403,0.07349934712231605
positive,positive,1,0.8636363636363636,0.0,0.13636363636363635
positive,positive,1,0.8619812059514487,0.026877344104191563,0.11114144994435972
positive,positive,1,0.8455136968393059,0.045468127862067935,0.10901817529862622
positive,positive,1,0.9253000631711938,0.0,0.07469993682880606
neutral,negative,0,0.24590163934426226,0.0,0.7540983606557377
positive,negative,0,0.5121212121212121,0.0,0.4878787878787879
positive,negative,0,0.6766107382550336,0.1451006711409396,0.17828859060402685
positive,negative,0,0.6827982520262303,0.2515833675707113,0.06561838040305842
positive,positive,1,0.9250709475200137,0.058960565885890985,0.015968486594095475
positive,positive,1,0.9269102990033222,0.0,0.07308970099667773
positive,positive,1,0.9177434604475262,0.05849353923731485,0.02376300031515916
positive,positive,1,0.87921994637904,0.04728070649864403,0.07349934712231605
positive,positive,1,0.8704461769485528,0.056787928721686955,0.07276589432976016
positive,positive,1,1.0,0.0,0.0
positive,positive,1,0.9517241379310345,0.048275862068965524,0.0
positive,positive,1,0.9401754275873454,0.048825535490647165,0.01099903692200742
positive,positive,1,0.9253000631711938,0.0,0.07469993682880606
positive,positive,1,0.87921994637904,0.04728070649864403,0.07349934712231605
positive,neutral,0,0.7620703490704828,0.11876421024475056,0.11916544068476662
positive,neutral,0,0.8081378920599039,0.063294716021475,0.12856739191862107
positive,neutral,0,0.7870234064478139,0.06226998380686,0.15070660974532607
positive,neutral,0,0.8455136968393059,0.045468127862067935,0.10901817529862622
positive,positive,1,0.8704461769485528,0.056787928721686955,0.07276589432976016
positive,positive,1,0.9253000631711938,0.0,0.07469993682880606
negative,negative,1,0.291063724377103,0.5326466156100985,0.17628966001279853
positive,positive,1,0.8991743147218432,0.02739081420896371,0.07343487106919303
positive,positive,1,0.7605345076651916,0.04254869080091718,0.19691680153389116
positive,positive,1,0.8730532621291784,0.05564515297087072,0.07130158489995082
positive,positive,1,0.8704461769485528,0.056787928721686955,0.07276589432976016
positive,positive,1,0.7362333980002985,0.04753021937024325,0.21623638262945832
positive,positive,1,0.8429609727532636,0.04533085322586201,0.11170817402087423
positive,positive,1,0.9269102990033222,0.0,0.07308970099667773
positive,positive,1,0.9517241379310345,0.048275862068965524,0.0
positive,positive,1,0.9420289855072463,0.057971014492753624,0.0
positive,positive,1,1.0,0.0,0.0
positive,positive,1,1.0,0.0,0.0
positive,positive,1,0.8704461769485528,0.056787928721686955,0.07276589432976016
positive,positive,1,0.9269102990033222,0.0,0.07308970099667773
positive,positive,1,0.8881268752678955,0.0,0.11187312473210459
positive,positive,1,0.9244970414201183,0.0,0.07550295857988165
positive,positive,1,0.8816744729242675,0.04631985455580391,0.07200567251992865
positive,positive,1,0.9836065573770493,0.0,0.01639344262295082
positive,positive,1,0.9836065573770493,0.0,0.01639344262295082
positive,negative,0,0.7790440516750664,0.1558309140107595,0.06512503431417403
positive,positive,1,0.8409893992932863,0.026222800818300168,0.1327877998884136
positive,positive,1,0.897040410396425,0.027970521421029612,0.07498906818254535
positive,positive,1,0.8236116939432089,0.050916212057630444,0.12547209399916073
positive,positive,1,0.843878540492948,0.045380196113465165,0.11074126339358684
negative,negative,1,0.291063724377103,0.5326466156100985,0.17628966001279853
positive,positive,1,0.9517241379310345,0.048275862068965524,0.0
positive,positive,1,0.9269102990033222,0.0,0.07308970099667773
positive,positive,1,0.87921994637904,0.04728070649864403,0.07349934712231605
positive,negative,0,0.5993291848074123,0.2857267043849291,0.1149441108076586
negative,negative,1,0.36632227659960126,0.42453628179566194,0.20914144160473688
negative,negative,1,0.22029214370311884,0.6928543229372286,0.08685353335965258
negative,negative,1,0.1073231716112901,0.7932394095302208,0.0994374188584892
positive,positive,1,0.9836065573770493,0.0,0.01639344262295082
positive,positive,1,0.9836065573770493,0.0,0.01639344262295082
positive,positive,1,0.9250709475200137,0.058960565885890985,0.015968486594095475
positive,positive,1,0.9246731857835315,0.0,0.07532681421646854
positive,positive,1,0.9836065573770493,0.0,0.01639344262295082
positive,positive,1,0.9253000631711938,0.0,0.07469993682880606
positive,positive,1,0.6245747524603786,0.2977623819869247,0.07766286555269665
positive,positive,1,0.9269102990033222,0.0,0.07308970099667773
neutral,negative,0,0.3824608846822484,0.17770909793316594,0.43983001738458566
positive,positive,1,0.7423825950938364,0.2379414752241654,0.019675929681998296
positive,positive,1,0.7970487545744305,0.12296068941093143,0.07999055601463817
positive,positive,1,0.8704461769485528,0.056787928721686955,0.07276589432976016
positive,positive,1,0.7973758326255085,0.05147749117081676,0.15114667620367472
neutral,neutral,1,0.40972534894191803,0.09665315923758067,0.49362149182050125
positive,positive,1,0.8816744729242675,0.04631985455580391,0.07200567251992865
positive,negative,0,0.6346815726032659,0.05076745020544519,0.31455097719128894
positive,negative,0,0.5546401605658033,0.3679824142215426,0.07737742521265412
positive,positive,1,0.7970487545744305,0.12296068941093143,0.07999055601463817
positive,positive,1,0.9517241379310345,0.048275862068965524,0.0
positive,positive,1,0.9253000631711938,0.0,0.07469993682880606
positive,positive,1,0.8153068099342746,0.16308449453927185,0.02160869552645352
positive,positive,1,0.9354573185493633,0.04858051291983409,0.01596216853080263
positive,positive,1,0.6711018411967778,0.26086018411967776,0.06803797468354429
positive,positive,1,0.6245747524603786,0.2977623819869247,0.07766286555269665
positive,positive,1,0.6315023644961805,0.30447435431065845,0.06402328119316114
positive,positive,1,0.6711018411967778,0.26086018411967776,0.06803797468354429
positive,positive,1,0.8776516300174504,0.0489801279712274,0.07336824201132215
positive,positive,1,0.897040410396425,0.027970521421029612,0.07498906818254535
positive,positive,1,0.747283762682852,0.23951235128478188,0.01320388603236618
negative,negative,1,0.047346562067374254,0.8754960775265345,0.07715736040609138
negative,negative,1,0.29955067398901647,0.5481777333999002,0.15227159261108336
negative,negative,1,0.2692833588031851,0.6493203571141318,0.08139628408268318
positive,positive,1,0.754116544588728,0.17341123372028536,0.07247222169098663
positive,positive,1,0.8455136968393059,0.045468127862067935,0.10901817529862622
positive,positive,1,0.9354573185493633,0.04858051291983409,0.01596216853080263
positive,positive,1,0.9756097560975611,0.0,0.02439024390243903
positive,positive,1,0.8566835504408069,0.07170105695220841,0.07161539260698474
positive,positive,1,0.9253000631711938,0.0,0.07469993682880606
positive,positive,1,0.6711018411967778,0.26086018411967776,0.06803797468354429
positive,positive,1,0.8293568347630706,0.04925782089313422,0.12138534434379503
negative,neutral,0,0.3194200600328481,0.48711559155009343,0.19346434841705837
positive,positive,1,0.8704461769485528,0.056787928721686955,0.07276589432976016
positive,positive,1,0.8991743147218432,0.02739081420896371,0.07343487106919303
positive,positive,1,0.8663594470046083,0.0,0.13364055299539168
negative,negative,1,0.05732484076433121,0.7452229299363058,0.19745222929936307
negative,negative,1,0.05855481727574751,0.7612126245847176,0.1802325581395349
neutral,positive,0,0.05354136266696599,0.20877764058816928,0.7376809967448648
positive,negative,0,0.74946420492613,0.0675602144019425,0.18297558067192757
positive,positive,1,0.790547798066595,0.048872180451127824,0.1605800214822771
positive,positive,1,0.8636363636363636,0.0,0.13636363636363635
positive,negative,0,0.7066011422499668,0.2809137999734361,0.012485057776597159
positive,positive,1,0.9253000631711938,0.0,0.07469993682880606
neutral,positive,0,0.2860715538723113,0.21950144385171058,0.494427002275978
positive,positive,1,0.8657957420366618,0.11125741592815612,0.022946842035182203
positive,positive,1,0.9517241379310345,0.048275862068965524,0.0
positive,positive,1,0.9517241379310345,0.048275862068965524,0.0
positive,positive,1,0.9714285714285715,0.028571428571428574,0.0
negative,positive,0,0.2578161096565532,0.6595102417988604,0.08267364854458648
positive,positive,1,0.9272746907284531,0.04871551817232816,0.024009791099218875
positive,positive,1,0.8566835504408069,0.07170105695220841,0.07161539260698474
positive,negative,0,0.4358832278573303,0.31526145411064777,0.24885531803202193
positive,negative,0,0.673338809831164,0.2590859691105113,0.0675752210583247
positive,positive,1,0.9549497336216314,0.02875548917768218,0.016294777200686568
positive,positive,1,0.9253000631711938,0.0,0.07469993682880606
positive,positive,1,0.8816744729242675,0.04631985455580391,0.07200567251992865
positive,positive,1,0.6711018411967778,0.26086018411967776,0.06803797468354429
neutral,negative,0,0.3988205307611575,0.12069568694087661,0.48048378229796596
positive,positive,1,0.87921994637904,0.04728070649864403,0.07349934712231605
positive,positive,1,0.87921994637904,0.04728070649864403,0.07349934712231605
positive,positive,1,0.7887201633534395,0.061773886919989675,0.14950594972657075
positive,positive,1,0.7870234064478139,0.06226998380686,0.15070660974532607
positive,positive,1,0.7208171206225681,0.08973735408560311,0.1894455252918288
negative,neutral,0,0.24775403158305898,0.6297081636069416,0.12253780480999944
positive,positive,1,0.6690538326151605,0.19906536384050494,0.1318808035443345
positive,positive,1,0.6339233193227684,0.22588210044238857,0.14019458023484302
positive,positive,1,0.87921994637904,0.04728070649864403,0.07349934712231605
positive,positive,1,0.8704461769485528,0.056787928721686955,0.07276589432976016
positive,positive,1,0.8566835504408069,0.07170105695220841,0.07161539260698474
positive,positive,1,0.8704461769485528,0.056787928721686955,0.07276589432976016
positive,negative,0,0.6711018411967778,0.26086018411967776,0.06803797468354429
positive,positive,1,0.8250150075492519,0.10601696611022514,0.06896802634052279
positive,positive,1,0.9354573185493633,0.04858051291983409,0.01596216853080263
positive,positive,1,0.9354573185493633,0.04858051291983409,0.01596216853080263
positive,positive,1,0.9354573185493633,0.04858051291983409,0.01596216853080263
positive,positive,1,1.0,0.0,0.0
positive,neutral,0,0.8455136968393059,0.045468127862067935,0.10901817529862622
positive,neutral,0,0.8042874248712493,0.049721573140817724,0.14599100198793288
positive,neutral,0,0.790547798066595,0.048872180451127824,0.1605800214822771
negative,negative,1,0.21247778923694383,0.7731209383814412,0.014401272381615081
positive,negative,0,0.682289963340847,0.25198650841083475,0.06572352824831808
positive,negative,0,0.7509256862071253,0.07282421616339105,0.17625009762948363
positive,negative,0,0.6625482625482626,0.1420849420849421,0.19536679536679538
positive,negative,0,0.6460114676591893,0.09023237098883412,0.2637561613519767
positive,positive,1,0.9347557877930185,0.049108546822459305,0.01613566538452234
positive,positive,1,1.0,0.0,0.0
positive,positive,1,0.7966415988461935,0.08004532811373236,0.12331307304007418
positive,positive,1,0.7790440516750664,0.1558309140107595,0.06512503431417403
positive,positive,1,0.7440641780423108,0.18050074399948243,0.07543507795820661
positive,positive,1,0.87921994637904,0.04728070649864403,0.07349934712231605
